rest_name,order_count
"Golden Garden",90
"Spice Palace",71
"Tasty Bistro",68
"Big Table",66
"Flavors Corner",61
"Happy Corner",59
"Royal Garden",59
"Flavors Kitchen",58
"Little Palace",56
"Fresh Palace",56
"Fresh Hub",56
"Big Diner",54
"Golden Table",47
"Happy Diner",39
"Fresh Garden",38
"Little Corner",38
"Tasty Palace",37
"Royal Grill",37
"Spice Kitchen",37
"Happy Garden",33
"Golden Bistro",32
"Happy Grill",32
"Royal Palace",31
"Fresh Caf̩",30
"Tasty Diner",30
"Spice Garden",30
"Big Corner",26
"Royal Hub",26
"Flavors Table",26
"Golden Kitchen",26
"Flavors Diner",26
"Royal Corner",24
"Urban Corner",24
"Flavors Palace",22
"Happy Kitchen",22
"Royal Kitchen",19
"Golden Diner",14
